id,name,age,specialty,years_of_experience,salary
1598,Robert Lee1598,45,Pediatrics,37,122012
1599,Robert Lee1599,35,Cardiology,8,131006
1600,John Doe1600,37,Ophthalmology,18,154372
1601,John Doe1601,26,Neurology,15,141221
1602,Sarah Davis1602,31,Pediatrics,3,178881
1603,Emily Johnson1603,54,Pediatrics,32,183612
1604,Michael Brown1604,29,Neurology,2,112146
1605,Robert Lee1605,47,Cardiology,34,88144
1606,Laura Martinez1606,52,Cardiology,25,157340
1607,Sarah Davis1607,28,Ophthalmology,4,154003
1608,Sarah Davis1608,44,Dermatology,16,138462
1609,Emily Johnson1609,55,Pediatrics,29,129805
1610,James Anderson1610,60,Orthopedics,11,143188
1611,Robert Lee1611,42,Orthopedics,22,187064
1612,David Wilson1612,34,Dermatology,32,85273
1613,Michael Brown1613,27,General Surgery,34,158137
1614,Jane Smith1614,41,Orthopedics,19,91158
1615,Robert Lee1615,61,Pediatrics,38,121753
1616,David Wilson1616,35,Dermatology,13,98103
1617,Sarah Davis1617,43,General Surgery,2,177795
1618,James Anderson1618,47,Orthopedics,16,143943
1619,James Anderson1619,45,Orthopedics,38,117821
1620,James Anderson1620,46,Cardiology,9,167912
1621,Robert Lee1621,33,Orthopedics,5,126080
1622,Sarah Davis1622,31,General Surgery,32,190767
1623,John Doe1623,60,Pediatrics,25,149440
1624,James Anderson1624,28,Cardiology,35,114693
1625,John Doe1625,25,Ophthalmology,23,131595
1626,Robert Lee1626,51,General Surgery,37,147809
1627,Laura Martinez1627,31,Dermatology,27,165782
1628,Patricia Taylor1628,47,Neurology,1,122709
1629,Sarah Davis1629,36,Dermatology,27,103515
1630,Patricia Taylor1630,51,Dermatology,20,111859
1631,Patricia Taylor1631,59,Neurology,4,123280
1632,Jane Smith1632,43,Ophthalmology,37,151292
1633,James Anderson1633,64,Pediatrics,25,124154
1634,Emily Johnson1634,25,Neurology,25,137881
1635,David Wilson1635,64,Ophthalmology,23,145920
1636,Michael Brown1636,29,Cardiology,25,172758
1637,Sarah Davis1637,25,Ophthalmology,27,135015
1638,Patricia Taylor1638,48,Ophthalmology,38,143328
1639,Patricia Taylor1639,46,Ophthalmology,13,113741
1640,Sarah Davis1640,27,Neurology,35,155154
1641,Patricia Taylor1641,40,General Surgery,7,165409
1642,Sarah Davis1642,40,Pediatrics,33,167240
1643,David Wilson1643,64,Ophthalmology,13,87109
1644,Patricia Taylor1644,57,Neurology,22,159973
1645,Patricia Taylor1645,54,Pediatrics,13,164230
1646,James Anderson1646,62,General Surgery,40,164515
1647,John Doe1647,34,Dermatology,2,169255
1648,Emily Johnson1648,45,Orthopedics,19,158951
1649,Jane Smith1649,31,General Surgery,14,193214
1650,Sarah Davis1650,41,Dermatology,27,196482
1651,Emily Johnson1651,47,Orthopedics,10,119098
1652,John Doe1652,28,Neurology,6,123887
1653,Emily Johnson1653,34,General Surgery,30,99287
1654,Emily Johnson1654,64,Ophthalmology,28,172324
1655,James Anderson1655,59,Ophthalmology,15,193603
1656,Patricia Taylor1656,47,General Surgery,3,142653
1657,Sarah Davis1657,27,Orthopedics,29,105768
1658,Sarah Davis1658,39,Ophthalmology,1,115512
1659,Michael Brown1659,50,General Surgery,17,99096
1660,Robert Lee1660,27,Dermatology,29,135685
1661,Patricia Taylor1661,56,Orthopedics,33,81701
1662,Sarah Davis1662,59,General Surgery,15,193215
1663,Patricia Taylor1663,39,Neurology,5,158814
1664,Sarah Davis1664,48,Neurology,10,131027
1665,Sarah Davis1665,30,General Surgery,11,124470
1666,Jane Smith1666,49,Cardiology,36,142429
1667,Sarah Davis1667,65,Dermatology,7,147983
1668,David Wilson1668,42,Orthopedics,39,193072
1669,Patricia Taylor1669,35,Ophthalmology,1,190804
1670,David Wilson1670,56,Orthopedics,24,164854
1671,Patricia Taylor1671,56,Pediatrics,6,144208
1672,Robert Lee1672,57,General Surgery,10,126060
1673,Robert Lee1673,46,Ophthalmology,17,177589
1674,John Doe1674,60,Cardiology,1,118967
1675,Emily Johnson1675,52,General Surgery,37,102177
1676,David Wilson1676,26,Ophthalmology,25,163139
1677,Robert Lee1677,57,Orthopedics,37,101857
1678,Sarah Davis1678,60,General Surgery,26,172027
1679,Jane Smith1679,41,Cardiology,24,80392
1680,Sarah Davis1680,48,Neurology,18,142518
1681,Emily Johnson1681,30,Cardiology,38,104530
1682,Emily Johnson1682,28,Pediatrics,27,104917
1683,Emily Johnson1683,45,Pediatrics,34,114132
1684,James Anderson1684,25,General Surgery,26,105101
1685,Robert Lee1685,64,Ophthalmology,40,150590
1686,Laura Martinez1686,60,General Surgery,31,86043
1687,James Anderson1687,45,Neurology,8,133551
1688,John Doe1688,25,Dermatology,4,107497
1689,Michael Brown1689,31,Ophthalmology,4,167251
1690,John Doe1690,25,General Surgery,35,89518
1691,David Wilson1691,38,Cardiology,40,174441
1692,David Wilson1692,46,General Surgery,30,160407
1693,Patricia Taylor1693,34,General Surgery,22,158200
1694,James Anderson1694,33,Cardiology,39,128402
1695,John Doe1695,47,Cardiology,7,115980
1696,Jane Smith1696,51,Neurology,26,127754
1697,Emily Johnson1697,39,Ophthalmology,10,193067
1698,Robert Lee1698,56,Pediatrics,34,87813
1699,Sarah Davis1699,31,General Surgery,38,199389
1700,Michael Brown1700,58,Pediatrics,35,157304
1701,Michael Brown1701,36,Cardiology,29,142315
1702,Laura Martinez1702,33,Neurology,17,199923
1703,David Wilson1703,59,Pediatrics,29,198112
1704,Robert Lee1704,58,Cardiology,27,118917
1705,Emily Johnson1705,56,Dermatology,3,149595
1706,David Wilson1706,32,Dermatology,18,184366
1707,Michael Brown1707,51,Cardiology,14,89237
1708,Laura Martinez1708,27,Cardiology,26,133543
1709,Robert Lee1709,36,Cardiology,16,154015
1710,Emily Johnson1710,36,Neurology,16,131200
1711,Sarah Davis1711,30,Pediatrics,30,105580
1712,James Anderson1712,63,Pediatrics,9,194227
1713,Robert Lee1713,51,Ophthalmology,8,118545
1714,Robert Lee1714,40,Neurology,14,85970
1715,Sarah Davis1715,31,Dermatology,26,139334
1716,Robert Lee1716,41,Pediatrics,4,143018
1717,Sarah Davis1717,32,Neurology,40,158834
1718,Laura Martinez1718,58,Dermatology,10,163891
1719,Sarah Davis1719,56,Dermatology,40,128348
1720,Jane Smith1720,64,Orthopedics,12,146617
1721,James Anderson1721,29,Pediatrics,9,138519
1722,Patricia Taylor1722,48,Neurology,26,168155
1723,John Doe1723,49,Pediatrics,7,164829
1724,David Wilson1724,56,General Surgery,15,170038
1725,Patricia Taylor1725,35,Neurology,35,174099
1726,Emily Johnson1726,62,Cardiology,2,176772
1727,Jane Smith1727,58,Orthopedics,6,166915
1728,Jane Smith1728,52,Orthopedics,8,165020
1729,John Doe1729,41,Ophthalmology,19,133299
1730,James Anderson1730,51,Ophthalmology,16,137377
1731,Sarah Davis1731,27,Orthopedics,14,165911
1732,Emily Johnson1732,60,General Surgery,21,140254
1733,Emily Johnson1733,27,Orthopedics,3,136883
1734,Michael Brown1734,36,Orthopedics,2,129990
1735,Sarah Davis1735,65,General Surgery,12,179964
1736,Laura Martinez1736,46,General Surgery,10,117895
1737,David Wilson1737,58,Neurology,35,142939
1738,John Doe1738,65,General Surgery,11,162381
1739,Patricia Taylor1739,39,Cardiology,34,193480
1740,Robert Lee1740,48,Orthopedics,33,191246
1741,Jane Smith1741,36,Orthopedics,14,180792
1742,Emily Johnson1742,47,Dermatology,22,105379
1743,Jane Smith1743,62,Dermatology,11,158827
1744,Patricia Taylor1744,63,Dermatology,5,87682
1745,Patricia Taylor1745,60,Orthopedics,30,190789
1746,Laura Martinez1746,48,General Surgery,13,142249
1747,John Doe1747,48,Ophthalmology,36,98359
1748,Patricia Taylor1748,54,Neurology,28,102186
1749,Patricia Taylor1749,26,Pediatrics,17,124629
1750,Sarah Davis1750,58,Dermatology,15,110027
1751,Laura Martinez1751,59,Dermatology,37,153420
1752,Robert Lee1752,41,Pediatrics,40,131417
1753,Patricia Taylor1753,37,Cardiology,16,111595
1754,Michael Brown1754,43,Ophthalmology,6,92895
1755,Laura Martinez1755,40,General Surgery,14,94701
1756,James Anderson1756,43,Orthopedics,33,169988
1757,James Anderson1757,36,Pediatrics,35,191330
1758,Sarah Davis1758,61,General Surgery,30,116992
1759,Patricia Taylor1759,31,General Surgery,20,163934
1760,Emily Johnson1760,41,General Surgery,21,184191
1761,James Anderson1761,35,Pediatrics,37,121285
1762,Emily Johnson1762,49,Dermatology,9,122022
1763,Robert Lee1763,36,Pediatrics,27,101302
1764,Michael Brown1764,48,Pediatrics,15,194836
1765,James Anderson1765,35,Ophthalmology,2,173354
1766,Robert Lee1766,32,Orthopedics,38,191038
1767,Robert Lee1767,60,Neurology,13,195421
1768,Sarah Davis1768,36,Orthopedics,34,108950
1769,Robert Lee1769,63,Orthopedics,17,133646
1770,Laura Martinez1770,34,Cardiology,23,163335
1771,James Anderson1771,43,Cardiology,1,133160
1772,Jane Smith1772,34,Neurology,25,120627
1773,Michael Brown1773,45,Neurology,23,180595
1774,David Wilson1774,43,Ophthalmology,6,118149
1775,Robert Lee1775,31,Cardiology,10,160614
1776,Emily Johnson1776,31,Pediatrics,39,128996
1777,Laura Martinez1777,51,General Surgery,5,146051
1778,James Anderson1778,40,Ophthalmology,12,96840
1779,Michael Brown1779,56,General Surgery,25,170088
1780,Sarah Davis1780,38,Orthopedics,4,81862
1781,John Doe1781,61,Orthopedics,15,176680
1782,Michael Brown1782,44,Cardiology,19,88785
1783,Jane Smith1783,25,Dermatology,16,168125
1784,Patricia Taylor1784,28,Neurology,40,107254
1785,Jane Smith1785,60,Pediatrics,32,193235
1786,Michael Brown1786,32,Dermatology,31,104193
1787,David Wilson1787,39,Orthopedics,6,173611
1788,James Anderson1788,37,Ophthalmology,34,183241
1789,James Anderson1789,61,Orthopedics,22,85363
1790,Jane Smith1790,53,Pediatrics,36,84587
1791,James Anderson1791,40,Ophthalmology,16,195263
1792,Sarah Davis1792,38,Ophthalmology,17,108046
1793,David Wilson1793,51,Orthopedics,18,175709
1794,Emily Johnson1794,54,Dermatology,1,106278
1795,Michael Brown1795,34,Ophthalmology,3,114571
1796,Patricia Taylor1796,44,Pediatrics,26,132554
1797,Sarah Davis1797,34,Orthopedics,31,110205
1798,Laura Martinez1798,62,Dermatology,22,154678
1799,John Doe1799,55,Neurology,2,110435
1800,Laura Martinez1800,61,Cardiology,32,91012
1801,Laura Martinez1801,33,Dermatology,6,84705
1802,Sarah Davis1802,61,Orthopedics,14,98893
1803,Robert Lee1803,25,Dermatology,16,199774
1804,David Wilson1804,31,Ophthalmology,17,108760
1805,Jane Smith1805,58,Neurology,21,187581
1806,David Wilson1806,54,Dermatology,17,161170
1807,Michael Brown1807,27,Neurology,32,119599
1808,Robert Lee1808,65,General Surgery,36,90183
1809,Sarah Davis1809,59,Ophthalmology,15,164848
1810,Emily Johnson1810,37,Pediatrics,1,115985
1811,Jane Smith1811,41,Cardiology,28,186814
1812,Robert Lee1812,56,Dermatology,1,151399
1813,Patricia Taylor1813,25,Cardiology,20,155262
1814,James Anderson1814,57,Neurology,34,166222
1815,Jane Smith1815,44,Ophthalmology,11,190959
1816,James Anderson1816,60,Dermatology,11,126862
1817,Emily Johnson1817,30,Orthopedics,38,152215
1818,Robert Lee1818,61,Orthopedics,20,106297
1819,David Wilson1819,55,General Surgery,40,167686
1820,Emily Johnson1820,52,Cardiology,4,188701
1821,Sarah Davis1821,43,Pediatrics,40,198117
1822,Sarah Davis1822,42,Ophthalmology,20,80581
1823,Laura Martinez1823,65,Ophthalmology,23,171182
1824,Laura Martinez1824,26,Dermatology,13,180522
1825,Jane Smith1825,56,Pediatrics,22,130790
1826,Laura Martinez1826,35,Neurology,17,150835
1827,John Doe1827,55,Cardiology,35,90564
1828,Michael Brown1828,58,Dermatology,9,143808
1829,James Anderson1829,28,Orthopedics,17,88257
1830,John Doe1830,50,Neurology,20,195193
1831,Patricia Taylor1831,25,Orthopedics,33,110240
1832,John Doe1832,60,Neurology,32,87827
1833,Laura Martinez1833,34,Pediatrics,27,159321
1834,Sarah Davis1834,32,Orthopedics,35,140672
1835,Jane Smith1835,41,Pediatrics,1,194810
1836,Robert Lee1836,51,Dermatology,8,152965
1837,Jane Smith1837,32,General Surgery,1,179856
1838,James Anderson1838,29,Dermatology,3,81661
1839,James Anderson1839,33,Ophthalmology,7,178045
1840,Robert Lee1840,27,Cardiology,24,192213
1841,Emily Johnson1841,57,Cardiology,29,144809
1842,David Wilson1842,56,Ophthalmology,8,147908
1843,David Wilson1843,48,Ophthalmology,39,100590
1844,Robert Lee1844,27,Cardiology,24,124211
1845,Laura Martinez1845,61,Neurology,14,100744
1846,Robert Lee1846,61,Neurology,37,166311
1847,James Anderson1847,39,Neurology,37,124021
1848,Jane Smith1848,58,Neurology,30,173568
1849,Patricia Taylor1849,46,Dermatology,1,135308
1850,James Anderson1850,60,Pediatrics,20,89005
1851,Laura Martinez1851,25,Orthopedics,18,87985
1852,Robert Lee1852,48,Ophthalmology,28,153506
1853,Sarah Davis1853,27,Ophthalmology,8,126331
1854,Sarah Davis1854,29,Cardiology,21,94487
1855,Robert Lee1855,31,Cardiology,38,93878
1856,Sarah Davis1856,38,Neurology,13,117012
1857,Jane Smith1857,49,General Surgery,3,143909
1858,John Doe1858,53,Pediatrics,20,135739
1859,Laura Martinez1859,42,Cardiology,28,127752
1860,Patricia Taylor1860,59,Dermatology,28,158832
1861,James Anderson1861,29,Dermatology,33,94974
1862,Jane Smith1862,60,Ophthalmology,24,174909
1863,Patricia Taylor1863,32,Pediatrics,33,151414
1864,Laura Martinez1864,31,General Surgery,22,151046
1865,Emily Johnson1865,44,Neurology,11,147891
1866,Patricia Taylor1866,36,Neurology,39,159277
1867,Michael Brown1867,40,Neurology,21,159579
1868,Michael Brown1868,35,General Surgery,13,110439
1869,Emily Johnson1869,58,Cardiology,11,152073
1870,Sarah Davis1870,25,Pediatrics,7,81983
1871,John Doe1871,42,Orthopedics,9,146214
1872,David Wilson1872,25,General Surgery,40,87576
1873,David Wilson1873,31,Neurology,8,194059
1874,David Wilson1874,36,Orthopedics,20,169839
1875,Robert Lee1875,30,Neurology,7,139150
1876,Laura Martinez1876,26,General Surgery,21,135212
1877,John Doe1877,47,Pediatrics,39,164068
1878,Robert Lee1878,60,Neurology,19,171213
1879,Sarah Davis1879,51,Dermatology,13,144487
1880,James Anderson1880,41,Pediatrics,37,193287
1881,Patricia Taylor1881,46,Dermatology,32,172785
1882,John Doe1882,38,Neurology,39,120875
1883,Patricia Taylor1883,57,Dermatology,2,198918
1884,James Anderson1884,29,Ophthalmology,16,146705
1885,Emily Johnson1885,56,Orthopedics,19,189669
1886,Sarah Davis1886,37,Cardiology,22,97397
1887,Laura Martinez1887,46,Orthopedics,21,179950
1888,Sarah Davis1888,39,Cardiology,1,173125
1889,Laura Martinez1889,34,Cardiology,21,134067
1890,John Doe1890,50,Cardiology,26,198974
1891,Laura Martinez1891,42,Neurology,22,110628
1892,Patricia Taylor1892,36,Pediatrics,22,87316
1893,Patricia Taylor1893,51,Ophthalmology,11,165276
1894,Laura Martinez1894,37,General Surgery,33,172032
1895,Emily Johnson1895,25,Orthopedics,2,169003
1896,James Anderson1896,62,Neurology,39,146789
1897,Michael Brown1897,56,Cardiology,19,152362
1898,James Anderson1898,63,Ophthalmology,28,193680
1899,Michael Brown1899,50,Pediatrics,14,123512
1900,James Anderson1900,55,Cardiology,40,101116
1901,Emily Johnson1901,58,Pediatrics,35,178683
1902,Laura Martinez1902,64,Pediatrics,2,115291
1903,Michael Brown1903,42,General Surgery,36,114790
1904,Michael Brown1904,42,Pediatrics,11,177305
1905,Jane Smith1905,47,Pediatrics,28,130957
1906,Michael Brown1906,50,Ophthalmology,19,150050
1907,Robert Lee1907,49,Ophthalmology,26,192709
1908,Emily Johnson1908,28,Ophthalmology,32,169571
1909,Jane Smith1909,63,Neurology,2,162284
1910,James Anderson1910,60,General Surgery,39,134784
1911,Sarah Davis1911,49,Ophthalmology,39,123472
1912,Laura Martinez1912,56,Ophthalmology,10,103370
1913,Laura Martinez1913,29,General Surgery,36,136639
1914,John Doe1914,58,Ophthalmology,36,163728
1915,Sarah Davis1915,48,General Surgery,29,145992
1916,Laura Martinez1916,62,Ophthalmology,22,190276
1917,Patricia Taylor1917,44,Neurology,7,183827
1918,Emily Johnson1918,29,Pediatrics,39,154499
1919,Sarah Davis1919,44,Neurology,2,161731
1920,David Wilson1920,55,General Surgery,18,153313
1921,Laura Martinez1921,39,General Surgery,36,122706
1922,David Wilson1922,54,Cardiology,6,177220
1923,Michael Brown1923,53,Cardiology,23,101631
1924,Michael Brown1924,25,Cardiology,17,109528
1925,Michael Brown1925,37,Orthopedics,1,115337
1926,Jane Smith1926,37,General Surgery,36,90454
1927,Robert Lee1927,43,Ophthalmology,7,141169
1928,Robert Lee1928,50,Dermatology,33,137560
1929,Sarah Davis1929,48,Cardiology,19,112343
1930,Sarah Davis1930,26,Pediatrics,26,145428
1931,Laura Martinez1931,62,Neurology,19,196682
1932,James Anderson1932,43,General Surgery,9,172165
1933,James Anderson1933,51,Ophthalmology,36,113581
1934,Jane Smith1934,54,Ophthalmology,1,190456
1935,Michael Brown1935,61,Ophthalmology,10,165914
1936,Emily Johnson1936,62,Pediatrics,8,140552
1937,Patricia Taylor1937,45,Pediatrics,38,183817
1938,Patricia Taylor1938,58,Cardiology,26,145982
1939,Sarah Davis1939,48,General Surgery,36,108502
1940,David Wilson1940,59,General Surgery,20,101878
1941,Jane Smith1941,61,Orthopedics,26,138153
1942,Patricia Taylor1942,36,Pediatrics,38,80296
1943,Patricia Taylor1943,58,Neurology,22,136562
1944,Jane Smith1944,30,Ophthalmology,40,124706
1945,Robert Lee1945,55,Orthopedics,27,161160
1946,Emily Johnson1946,38,Neurology,13,134381
1947,David Wilson1947,56,Pediatrics,6,90750
1948,Michael Brown1948,39,Neurology,38,161691
1949,Laura Martinez1949,37,Orthopedics,33,85124
1950,Sarah Davis1950,56,Dermatology,6,83825
1951,John Doe1951,55,Neurology,33,81176
1952,Robert Lee1952,28,Orthopedics,2,171338
1953,John Doe1953,28,General Surgery,24,177801
1954,Patricia Taylor1954,47,Ophthalmology,11,91741
1955,Emily Johnson1955,41,Pediatrics,21,144222
1956,David Wilson1956,55,Neurology,16,101847
1957,John Doe1957,49,Pediatrics,35,138621
1958,David Wilson1958,33,Pediatrics,37,198970
1959,James Anderson1959,40,Neurology,21,188919
1960,John Doe1960,54,Orthopedics,25,83492
1961,Patricia Taylor1961,54,Pediatrics,15,159956
1962,John Doe1962,61,Ophthalmology,3,128618
1963,Patricia Taylor1963,35,General Surgery,6,193333
1964,David Wilson1964,45,Ophthalmology,25,98517
1965,Patricia Taylor1965,27,Dermatology,21,88946
1966,John Doe1966,54,Neurology,38,186772
1967,Robert Lee1967,52,Dermatology,9,129255
1968,Patricia Taylor1968,60,Pediatrics,34,189332
1969,Jane Smith1969,38,General Surgery,14,195335
1970,Laura Martinez1970,41,Pediatrics,37,163449
1971,Sarah Davis1971,25,Neurology,20,142868
1972,Patricia Taylor1972,64,Dermatology,24,191653
1973,David Wilson1973,57,Orthopedics,35,101846
1974,James Anderson1974,56,Neurology,1,102002
1975,Emily Johnson1975,36,Cardiology,33,119717
1976,Patricia Taylor1976,58,Pediatrics,13,107628
1977,Sarah Davis1977,41,Pediatrics,12,198999
1978,Sarah Davis1978,25,Orthopedics,33,175041
1979,Sarah Davis1979,58,Ophthalmology,4,169728
1980,Sarah Davis1980,63,Pediatrics,10,134366
1981,Jane Smith1981,46,Pediatrics,35,107449
1982,Jane Smith1982,65,Pediatrics,39,188429
1983,John Doe1983,42,Orthopedics,34,173624
1984,Patricia Taylor1984,38,General Surgery,39,176690
1985,John Doe1985,45,Dermatology,5,170172
1986,Laura Martinez1986,34,Cardiology,11,80387
1987,Robert Lee1987,50,Orthopedics,40,160230
1988,Sarah Davis1988,25,Pediatrics,36,142506
1989,James Anderson1989,31,Ophthalmology,4,195352
1990,Robert Lee1990,55,Neurology,17,133100
1991,James Anderson1991,42,Pediatrics,26,113453
1992,Patricia Taylor1992,42,Cardiology,21,151762
1993,Patricia Taylor1993,52,Orthopedics,14,105061
1994,Jane Smith1994,52,Dermatology,27,92188
1995,John Doe1995,51,Orthopedics,12,155292
1996,Laura Martinez1996,36,Ophthalmology,7,92091
1997,James Anderson1997,43,General Surgery,1,148353
1998,Robert Lee1998,41,Cardiology,22,147214
1999,Emily Johnson1999,65,Ophthalmology,32,114161
2000,David Wilson2000,63,Pediatrics,21,111885
2001,Sarah Davis2001,64,Orthopedics,27,197595
2002,Robert Lee2002,39,Pediatrics,15,141338
2003,Jane Smith2003,44,General Surgery,23,135643
2004,James Anderson2004,36,Dermatology,35,154021
2005,Robert Lee2005,37,Pediatrics,23,88076
2006,James Anderson2006,56,Orthopedics,22,122344
2007,Laura Martinez2007,49,Cardiology,31,112508
2008,David Wilson2008,41,Cardiology,25,160814
2009,John Doe2009,55,Pediatrics,1,144617
2010,David Wilson2010,30,Ophthalmology,28,178111
2011,John Doe2011,28,Dermatology,3,170088
2012,Laura Martinez2012,25,General Surgery,40,155070
2013,James Anderson2013,64,Pediatrics,34,143245
2014,Patricia Taylor2014,60,Pediatrics,11,89782
2015,Robert Lee2015,59,Cardiology,36,178783
2016,John Doe2016,40,Pediatrics,5,199131
2017,Patricia Taylor2017,51,Pediatrics,23,87649
2018,Jane Smith2018,61,Neurology,37,143389
2019,John Doe2019,50,Dermatology,27,144330
2020,Robert Lee2020,65,Ophthalmology,3,92217
2021,John Doe2021,65,Cardiology,8,106927
2022,Robert Lee2022,35,General Surgery,2,80395
2023,Michael Brown2023,27,Dermatology,16,131919
2024,Patricia Taylor2024,33,Cardiology,15,84103
2025,Patricia Taylor2025,43,Pediatrics,29,89707
2026,Jane Smith2026,35,Ophthalmology,28,190487
2027,Jane Smith2027,61,Dermatology,32,118917
2028,Sarah Davis2028,49,Pediatrics,40,113738
2029,Emily Johnson2029,52,Pediatrics,36,116416
2030,Patricia Taylor2030,58,Neurology,20,114697
2031,Emily Johnson2031,60,Ophthalmology,21,188160
2032,Michael Brown2032,59,Pediatrics,25,138814
2033,Michael Brown2033,27,Cardiology,15,92192
2034,Patricia Taylor2034,34,Dermatology,13,137725
2035,Laura Martinez2035,64,Cardiology,10,186589
2036,Robert Lee2036,31,General Surgery,10,192871
2037,James Anderson2037,55,Dermatology,6,166594
2038,James Anderson2038,29,Pediatrics,29,194256
2039,Sarah Davis2039,54,Pediatrics,3,130714
2040,Robert Lee2040,38,Cardiology,36,86683
2041,Jane Smith2041,40,Dermatology,11,198032
2042,James Anderson2042,28,Pediatrics,4,111985
2043,Michael Brown2043,46,Cardiology,30,98845
2044,Emily Johnson2044,57,Ophthalmology,39,189025
2045,David Wilson2045,58,Neurology,36,81705
2046,David Wilson2046,65,Ophthalmology,27,108906
2047,David Wilson2047,49,Dermatology,19,171490
2048,Sarah Davis2048,44,Orthopedics,14,147370
2049,Sarah Davis2049,53,Dermatology,28,90755
2050,Laura Martinez2050,39,Ophthalmology,4,185812
2051,Emily Johnson2051,55,General Surgery,28,112744
2052,Laura Martinez2052,28,Ophthalmology,26,154069
2053,Emily Johnson2053,65,General Surgery,11,160721
2054,John Doe2054,46,Ophthalmology,31,108743
2055,Patricia Taylor2055,40,Ophthalmology,38,163393
2056,James Anderson2056,54,Orthopedics,37,128190
2057,James Anderson2057,27,Dermatology,10,166320
2058,Jane Smith2058,45,Orthopedics,32,100983
2059,James Anderson2059,53,General Surgery,13,179772
2060,Patricia Taylor2060,33,Dermatology,20,97656
2061,Sarah Davis2061,26,Ophthalmology,19,194581
2062,David Wilson2062,42,General Surgery,38,194839
2063,David Wilson2063,33,Dermatology,7,89878
2064,Robert Lee2064,56,Orthopedics,29,188411
2065,James Anderson2065,35,Pediatrics,14,168350
2066,David Wilson2066,45,Dermatology,29,166259
2067,David Wilson2067,55,General Surgery,27,88028
2068,Laura Martinez2068,32,Ophthalmology,9,150755
2069,Jane Smith2069,41,Cardiology,12,116801
2070,Robert Lee2070,48,Neurology,21,188958
2071,Michael Brown2071,54,General Surgery,21,193443
2072,David Wilson2072,64,Orthopedics,10,82442
2073,Emily Johnson2073,34,Pediatrics,6,196066
2074,Patricia Taylor2074,29,Pediatrics,16,147763
2075,David Wilson2075,65,Orthopedics,2,191253
2076,Laura Martinez2076,39,General Surgery,8,138501
2077,David Wilson2077,63,General Surgery,32,116551
2078,Patricia Taylor2078,28,Dermatology,21,162978
2079,Jane Smith2079,33,Dermatology,21,177468
2080,Laura Martinez2080,42,Ophthalmology,3,180514
2081,James Anderson2081,26,Ophthalmology,27,81635
2082,Patricia Taylor2082,37,General Surgery,5,190233
2083,Robert Lee2083,37,Ophthalmology,25,182962
2084,Sarah Davis2084,57,General Surgery,39,95996
2085,Emily Johnson2085,61,Cardiology,24,133713
2086,Jane Smith2086,61,Dermatology,24,133036
2087,Laura Martinez2087,47,General Surgery,40,105743
2088,Patricia Taylor2088,26,Neurology,2,185456
2089,Jane Smith2089,47,Pediatrics,1,129823
2090,Laura Martinez2090,36,Dermatology,1,171588
2091,Emily Johnson2091,45,Ophthalmology,7,139636
2092,Laura Martinez2092,65,Dermatology,24,146141
2093,Emily Johnson2093,49,Orthopedics,3,98582
2094,Robert Lee2094,49,Neurology,18,188161
2095,Robert Lee2095,42,Cardiology,36,113241
2096,Robert Lee2096,33,Neurology,32,174141
2097,Robert Lee2097,41,Pediatrics,9,160280
2098,Patricia Taylor2098,47,Cardiology,5,115227
2099,John Doe2099,65,Ophthalmology,9,177817
2100,Michael Brown2100,45,Pediatrics,36,90657
2101,Laura Martinez2101,40,Cardiology,17,156486
2102,Michael Brown2102,31,General Surgery,38,110793
2103,David Wilson2103,54,Neurology,29,181935
2104,Emily Johnson2104,59,Cardiology,19,128222
2105,David Wilson2105,38,Orthopedics,34,80484
2106,John Doe2106,56,Dermatology,17,196292
2107,Emily Johnson2107,31,Orthopedics,27,128800
2108,Sarah Davis2108,44,Orthopedics,10,111652
2109,Michael Brown2109,44,General Surgery,14,196124
2110,James Anderson2110,51,Neurology,10,172504
2111,Patricia Taylor2111,64,Dermatology,31,198139
2112,David Wilson2112,62,Dermatology,3,158524
2113,Sarah Davis2113,29,Orthopedics,19,195299
2114,Jane Smith2114,45,Neurology,19,133952
2115,Laura Martinez2115,44,Dermatology,15,138822
2116,Jane Smith2116,58,Ophthalmology,33,90311
2117,James Anderson2117,25,Dermatology,16,198708
2118,Patricia Taylor2118,25,Ophthalmology,39,115613
2119,Michael Brown2119,53,Orthopedics,34,186940
2120,Patricia Taylor2120,30,Dermatology,19,137010
2121,Sarah Davis2121,59,Orthopedics,33,142079
2122,Robert Lee2122,25,Orthopedics,11,105167
2123,Patricia Taylor2123,27,Pediatrics,14,153787
2124,Robert Lee2124,38,Orthopedics,32,124123
2125,John Doe2125,63,Pediatrics,30,145529
2126,Jane Smith2126,65,Cardiology,28,189622
2127,David Wilson2127,40,General Surgery,38,165290
2128,Jane Smith2128,38,Orthopedics,34,85409
2129,Laura Martinez2129,51,Orthopedics,37,141404
2130,Emily Johnson2130,25,General Surgery,26,105880
2131,Laura Martinez2131,38,Pediatrics,19,115555
2132,Jane Smith2132,59,Neurology,23,146925
2133,Patricia Taylor2133,29,Pediatrics,7,95237
2134,Emily Johnson2134,35,Cardiology,34,89035
2135,Michael Brown2135,32,Neurology,40,122547
2136,John Doe2136,43,General Surgery,20,153607
2137,Laura Martinez2137,42,General Surgery,23,114817
2138,Robert Lee2138,52,Neurology,36,197362
2139,David Wilson2139,40,Dermatology,23,140814
2140,Patricia Taylor2140,42,Pediatrics,30,167678
2141,Robert Lee2141,50,Pediatrics,40,117794
